method,transform,representation,metric,n,mean,std,median,min,max
BP,scale_0.90,concat,cp_ratio_to_original,32,1.0053633030654268,0.11319324581894467,0.970357035920603,0.862439998218521,1.4751722533730312
BP,scale_0.90,concat,cp_coefficient_entropy,32,2.0178286656737328,0.217002831204243,2.010059416294098,1.4722899198532104,2.5584716796875
BP,scale_0.90,layer2_flat,bp_eq2_uniform,32,0.31620446033775806,0.026701773956224712,0.3186030089855194,0.26515641808509827,0.3790836036205292
BP,scale_0.90,layer2_flat,full_normalized_distance,32,0.7945523982685823,0.03362651919922654,0.7982516288818928,0.728225813996041,0.870727975455629
BP,scale_0.90,layer2_flat,bp_delta_from_original,32,-0.024978044908493757,0.04620046091927528,-0.03508341312408447,-0.0838838517665863,0.0823969841003418
BP,scale_0.90,layer2_flat,bp_ratio_to_original,32,0.9552129087406087,0.1626489773828998,0.8968336048646808,0.7936649965657143,1.4508494161060022
BP,scale_0.90,layer2_flat,cp_eq1_optimized,32,0.19668324431404471,0.016444768205119257,0.19522779434919357,0.16748781502246857,0.23801614344120026
BP,scale_0.90,layer2_flat,cp_delta_from_original,32,0.001690346747636795,0.027035415547840124,-0.007795453071594238,-0.039466336369514465,0.09045609831809998
BP,scale_0.90,layer2_flat,cp_ratio_to_original,32,1.024174646092761,0.15976004842262467,0.9614795750842007,0.8355927368938547,1.6263568825318857
BP,scale_0.90,layer2_flat,cp_coefficient_entropy,32,2.24987206235528,0.16198210621846906,2.2440046072006226,1.9276458024978638,2.6549975872039795
BP,scale_0.90,layer3_flat,bp_eq2_uniform,32,0.326265187934041,0.025026531608173634,0.32772423326969147,0.2560473680496216,0.39349231123924255
BP,scale_0.90,layer3_flat,full_normalized_distance,32,0.8072034666730682,0.03136366106119847,0.8095975862305513,0.7156079485998204,0.8871215376026472
BP,scale_0.90,layer3_flat,bp_delta_from_original,32,-0.015925872139632702,0.02137460519173919,-0.021589696407318115,-0.05367133021354675,0.04032006859779358
BP,scale_0.90,layer3_flat,bp_ratio_to_original,32,0.9573140358101556,0.06333518965325853,0.9392723608922187,0.8575772076845029,1.1390938584387276
