target_index,transform,representation,cosine_drift
14,scale_1.10,concat,0.023843884468078613
14,horizontal_flip,layer2_flat,0.27948683500289917
14,horizontal_flip,layer3_flat,0.35981106758117676
14,horizontal_flip,layer4_pooled,0.006200909614562988
14,horizontal_flip,concat,0.3175470232963562
15,original,layer2_flat,0.0
15,original,layer3_flat,0.0
15,original,layer4_pooled,5.960464477539063e-08
15,original,concat,-2.384185791015625e-07
15,rotate_-10,layer2_flat,0.1630503535270691
15,rotate_-10,layer3_flat,0.08856481313705444
15,rotate_-10,layer4_pooled,0.02369004487991333
15,rotate_-10,concat,0.13176363706588745
15,rotate_+10,layer2_flat,0.15012907981872559
15,rotate_+10,layer3_flat,0.09116160869598389
15,rotate_+10,layer4_pooled,0.02431797981262207
15,rotate_+10,concat,0.1250724196434021
15,scale_0.90,layer2_flat,0.1875014305114746
15,scale_0.90,layer3_flat,0.09133744239807129
15,scale_0.90,layer4_pooled,0.014448761940002441
15,scale_0.90,concat,0.14806604385375977
15,scale_1.10,layer2_flat,0.05004233121871948
15,scale_1.10,layer3_flat,0.030415475368499756
15,scale_1.10,layer4_pooled,0.0035257339477539062
15,scale_1.10,concat,0.041777610778808594
15,horizontal_flip,layer2_flat,0.3499038815498352
15,horizontal_flip,layer3_flat,0.2708655595779419
15,horizontal_flip,layer4_pooled,0.02119576930999756
15,horizontal_flip,concat,0.3171837329864502
16,original,layer2_flat,-1.1920928955078125e-07
16,original,layer3_flat,0.0
16,original,layer4_pooled,1.1920928955078125e-07
16,original,concat,0.0
16,rotate_-10,layer2_flat,0.054403841495513916
16,rotate_-10,layer3_flat,0.025731205940246582
16,rotate_-10,layer4_pooled,0.001141190528869629
16,rotate_-10,concat,0.04059934616088867
16,rotate_+10,layer2_flat,0.06627732515335083
16,rotate_+10,layer3_flat,0.03623020648956299
16,rotate_+10,layer4_pooled,0.002765059471130371
16,rotate_+10,concat,0.0518680214881897
16,scale_0.90,layer2_flat,0.05321240425109863
16,scale_0.90,layer3_flat,0.020857572555541992
16,scale_0.90,layer4_pooled,0.004271328449249268
16,scale_0.90,concat,0.038080453872680664
16,scale_1.10,layer2_flat,0.03587043285369873
16,scale_1.10,layer3_flat,0.030872821807861328
16,scale_1.10,layer4_pooled,0.008036553859710693
16,scale_1.10,concat,0.0334247350692749
16,horizontal_flip,layer2_flat,0.15692317485809326
16,horizontal_flip,layer3_flat,0.12449729442596436
16,horizontal_flip,layer4_pooled,0.009719669818878174
16,horizontal_flip,concat,0.14122700691223145
17,original,layer2_flat,0.0
17,original,layer3_flat,0.0
17,original,layer4_pooled,-1.1920928955078125e-07
17,original,concat,0.0
17,rotate_-10,layer2_flat,0.14569401741027832
17,rotate_-10,layer3_flat,0.050386130809783936
17,rotate_-10,layer4_pooled,0.00680011510848999
17,rotate_-10,concat,0.0927857756614685
17,rotate_+10,layer2_flat,0.1243630051612854
17,rotate_+10,layer3_flat,0.04385274648666382
17,rotate_+10,layer4_pooled,0.0024251937866210938
17,rotate_+10,concat,0.07999968528747559
17,scale_0.90,layer2_flat,0.14568746089935303
17,scale_0.90,layer3_flat,0.062487244606018066
17,scale_0.90,layer4_pooled,0.006352066993713379
17,scale_0.90,concat,0.10187327861785889
17,scale_1.10,layer2_flat,0.06424951553344727
17,scale_1.10,layer3_flat,0.018791675567626953
17,scale_1.10,layer4_pooled,0.0010647177696228027
17,scale_1.10,concat,0.03922075033187866
17,horizontal_flip,layer2_flat,0.21125715970993042
17,horizontal_flip,layer3_flat,0.10464757680892944
17,horizontal_flip,layer4_pooled,0.002632319927215576
17,horizontal_flip,concat,0.15167111158370972
18,original,layer2_flat,5.960464477539063e-08
18,original,layer3_flat,5.960464477539063e-08
18,original,layer4_pooled,5.960464477539063e-08
18,original,concat,-1.1920928955078125e-07
18,rotate_-10,layer2_flat,0.16554516553878784
18,rotate_-10,layer3_flat,0.04720348119735718
18,rotate_-10,layer4_pooled,0.0019594430923461914
18,rotate_-10,concat,0.10198628902435303
18,rotate_+10,layer2_flat,0.1668674349784851
18,rotate_+10,layer3_flat,0.053473591804504395
18,rotate_+10,layer4_pooled,0.000741124153137207
18,rotate_+10,concat,0.105099618434906
18,scale_0.90,layer2_flat,0.1858360767364502
18,scale_0.90,layer3_flat,0.10820591449737549
18,scale_0.90,layer4_pooled,0.007864713668823242
18,scale_0.90,concat,0.1459592580795288
18,scale_1.10,layer2_flat,0.06504333019256592
18,scale_1.10,layer3_flat,0.030055701732635498
18,scale_1.10,layer4_pooled,0.0011353492736816406
18,scale_1.10,concat,0.0463864803314209
18,horizontal_flip,layer2_flat,0.19955873489379883
18,horizontal_flip,layer3_flat,0.08456647396087646
18,horizontal_flip,layer4_pooled,0.0014948248863220215
18,horizontal_flip,concat,0.1365436315536499
19,original,layer2_flat,1.1920928955078125e-07
19,original,layer3_flat,1.1920928955078125e-07
19,original,layer4_pooled,0.0
19,original,concat,-1.1920928955078125e-07
19,rotate_-10,layer2_flat,0.11228734254837036
19,rotate_-10,layer3_flat,0.07092070579528809
19,rotate_-10,layer4_pooled,0.009126722812652588
19,rotate_-10,concat,0.09404563903808594
19,rotate_+10,layer2_flat,0.11169666051864624
19,rotate_+10,layer3_flat,0.0708722472190857
19,rotate_+10,layer4_pooled,0.012059330940246582
19,rotate_+10,concat,0.09343981742858887
19,scale_0.90,layer2_flat,0.08770829439163208
19,scale_0.90,layer3_flat,0.0665273666381836
19,scale_0.90,layer4_pooled,0.02042078971862793
19,scale_0.90,concat,0.07827043533325195
19,scale_1.10,layer2_flat,0.06465733051300049
19,scale_1.10,layer3_flat,0.05715370178222656
19,scale_1.10,layer4_pooled,0.019043326377868652
19,scale_1.10,concat,0.0613555908203125
19,horizontal_flip,layer2_flat,0.21345722675323486
19,horizontal_flip,layer3_flat,0.20292305946350098
19,horizontal_flip,layer4_pooled,0.003936648368835449
19,horizontal_flip,concat,0.20873653888702393
20,original,layer2_flat,0.0
20,original,layer3_flat,0.0
20,original,layer4_pooled,0.0
20,original,concat,5.960464477539063e-08
20,rotate_-10,layer2_flat,0.09909439086914062
20,rotate_-10,layer3_flat,0.06533622741699219
20,rotate_-10,layer4_pooled,0.027253389358520508
20,rotate_-10,concat,0.08388173580169678
20,rotate_+10,layer2_flat,0.09330236911773682
20,rotate_+10,layer3_flat,0.05631488561630249
20,rotate_+10,layer4_pooled,0.014571666717529297
20,rotate_+10,concat,0.0758674144744873
20,scale_0.90,layer2_flat,0.11176431179046631
