target_index,bp_poison_count,msp_poison_count,method,transform,representation,bp_eq2_uniform,full_normalized_distance,bp_delta_from_original,bp_ratio_to_original,cp_eq1_optimized,cp_delta_from_original,cp_ratio_to_original,cp_coefficient_entropy,cp_coefficients
2,10,10,BP,scale_0.90,layer4_pooled,0.5504433512687683,1.049231481865435,0.0884760320186615,1.191520110474675,0.07628434151411057,-0.07285996526479721,0.5114800769947146,0.9090334177017212,0.00000000 0.32433495 0.00000000 0.00000000 0.00000000 0.00000000 0.67566508 0.00000000 0.00000000 0.00000000
2,10,10,BP,scale_0.90,concat,0.30918800830841064,0.7863688807530607,-0.058890193700790405,0.840006299261486,0.20447427034378052,-0.016519486904144287,0.925249078934221,1.9920350313186646,0.09067167 0.33038467 0.04747546 0.04171235 0.05420553 0.00000000 0.43555033 0.00000000 0.00000000 0.00000000
2,10,10,BP,scale_1.10,layer2_flat,0.38406991958618164,0.8764358728237699,-0.022472113370895386,0.9447237639675681,0.22339606285095215,-0.0034652799367904663,0.984725119342975,1.8809452056884766,0.18551624 0.22680373 0.01300733 0.01143032 0.00000000 0.05149551 0.50114977 0.00000000 0.01059708 0.00000000
2,10,10,BP,scale_1.10,layer3_flat,0.3348734974861145,0.8183807151761514,-0.0031372010707855225,0.9907186338060594,0.21829992532730103,0.006277859210968018,1.0296094615335645,1.5799150466918945,0.00348992 0.33731118 0.00000000 0.05395114 0.08598933 0.00000000 0.51925844 0.00000000 0.00000000 0.00000000
2,10,10,BP,scale_1.10,layer4_pooled,0.47240519523620605,0.9720135752510929,0.010437875986099243,1.0225944034374987,0.11584984511137009,-0.03329446166753769,0.7767634421562579,-0.0,0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 1.00000000 0.00000000 0.00000000 0.00000000
2,10,10,BP,scale_1.10,concat,0.35775941610336304,0.8458834625447681,-0.010318785905838013,0.9719657783332901,0.22359268367290497,0.0025989264249801636,1.0117601802753766,1.7384250164031982,0.12365598 0.29134500 0.00000000 0.02759937 0.03826970 0.00000000 0.51524007 0.00000000 0.00388984 0.00000000
2,10,10,BP,horizontal_flip,layer2_flat,0.3934963047504425,0.8871260392418233,-0.013045728206634521,0.967910505804993,0.21485671401023865,-0.012004628777503967,0.9470838502940411,1.7062005996704102,0.13850640 0.23591073 0.01800230 0.00364954 0.00000000 0.02544267 0.56466460 0.00000000 0.01382370 0.00000000
2,10,10,BP,horizontal_flip,layer3_flat,0.3383879065513611,0.8226638518269307,0.00037720799446105957,1.0011159646604986,0.1952112317085266,-0.016810834407806396,0.9207118640259676,1.1814171075820923,0.01519742 0.34688008 0.00000000 0.02368119 0.00000000 0.00000000 0.61424136 0.00000000 0.00000000 0.00000000
2,10,10,BP,horizontal_flip,layer4_pooled,0.46751832962036133,0.9669729361469858,0.005551010370254517,1.0120160239457052,0.16353680193424225,0.014392495155334473,1.0965004663340818,-0.0,0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 1.00000000 0.00000000 0.00000000 0.00000000
2,10,10,BP,horizontal_flip,concat,0.36302733421325684,0.8520884158504408,-0.005050867795944214,0.986277731828835,0.20546282827854156,-0.01553092896938324,0.9297223181201024,1.4457032680511475,0.09132512 0.29324433 0.00000000 0.01465178 0.00000000 0.00000000 0.58955634 0.00000000 0.01122241 0.00000000
2,10,10,MSP,original,layer2_flat,0.27434661984443665,0.7407383071563622,0.0,1.0,0.13717803359031677,0.0,1.0,1.6543558835983276,0.14145166 0.22954500 0.01981664 0.00000000 0.00000000 0.03950965 0.56883478 0.00000000 0.00084240 0.00000000
2,10,10,MSP,original,layer3_flat,0.27293694019317627,0.7388327824253283,0.0,1.0,0.10056469589471817,-7.450580596923828e-09,0.9999999259125683,0.9760549664497375,0.00000000 0.19421032 0.00000000 0.00000000 0.04885392 0.00000000 0.75693578 0.00000000 0.00000000 0.00000000
2,10,10,MSP,original,layer4_pooled,0.3807946443557739,0.8726908322605136,0.0,1.0,0.017588656395673752,0.0,1.0,0.35106879472732544,0.00000000 0.06606616 0.00000000 0.00000000 0.00000000 0.00000000 0.93393385 0.00000000 0.00000000 0.00000000
2,10,10,MSP,original,concat,0.2736040949821472,0.7397352161174257,0.0,1.0,0.11946144700050354,0.0,1.0,1.3514175415039062,0.07941106 0.20300739 0.00000000 0.00000000 0.01911872 0.01853703 0.67992586 0.00000000 0.00000000 0.00000000
