transform,representation,metric,n,bp_mean,bp_std,msp_mean,msp_std,mean_difference_bp_minus_msp,std_difference,mean_relative_improvement_percent,median_relative_improvement_percent,msp_win_rate_percent
original,layer4_pooled,full_normalized_distance,32,0.9580636895083305,0.05842049969780148,0.8498697279764008,0.06843787698296759,0.10819396153192978,0.04230633326577745,11.313089931827541,11.156896442404815,100.0
original,layer4_pooled,cp_eq1_optimized,32,0.0960759277222678,0.053478836052070475,0.07024595161783509,0.048307861383417,0.025829976104432717,0.05155343130192419,15.014489722701317,36.63007271229634,78.125
rotate_+10,concat,bp_eq2_uniform,32,0.35268821101635695,0.04098968958719806,0.2688947282731533,0.03341022736504051,0.08379348274320364,0.019987550890830517,23.681653151580537,23.609420776726324,100.0
rotate_+10,concat,full_normalized_distance,32,0.8383928802700404,0.0505331609574909,0.7318990728609654,0.046705155524675204,0.10649380740907499,0.02401036344955025,12.67911976921612,12.5983023637544,100.0
rotate_+10,concat,cp_eq1_optimized,32,0.2023344268091023,0.02119223661322,0.15362460282631218,0.020674530812451568,0.04870982398279011,0.019019441792478275,23.882509014065594,24.27360851899869,100.0
rotate_+10,layer2_flat,bp_eq2_uniform,32,0.3551518335007131,0.0525864204695421,0.2589566777460277,0.039749017521409455,0.0961951557546854,0.02677763178407614,26.845054430639372,24.99410221183758,100.0
rotate_+10,layer2_flat,full_normalized_distance,32,0.8403529084210681,0.06514029571716426,0.7174918808449627,0.05673941715609732,0.12286102757610523,0.03278052170258546,14.546423846444515,13.394111428147447,100.0
rotate_+10,layer2_flat,cp_eq1_optimized,32,0.20071775885298848,0.019492371269222656,0.15755855874158442,0.020271371239948023,0.04315920011140406,0.011494529190589384,21.594361029754317,21.759025909546388,100.0
rotate_+10,layer3_flat,bp_eq2_uniform,32,0.35277407709509134,0.0311648942784986,0.2804561872035265,0.02938863924544501,0.07231788989156485,0.019366578022643254,20.4847536889446,20.871282840983703,100.0
rotate_+10,layer3_flat,full_normalized_distance,32,0.8391525894151205,0.037620665125306874,0.7478997462548179,0.04010751948202169,0.09125284316030263,0.02408507535941517,10.871530482907284,11.046908951392279,100.0
rotate_+10,layer3_flat,cp_eq1_optimized,32,0.1982500241138041,0.033421484740279186,0.1461422611027956,0.029387708815912652,0.0521077630110085,0.029156627901288274,25.680450398979062,25.689985320745407,100.0
rotate_+10,layer4_pooled,bp_eq2_uniform,32,0.48421852849423885,0.06894323192147084,0.382672933395952,0.062418187143573785,0.10154559509828687,0.04327242502609386,20.895258770013797,19.93945101218379,100.0
rotate_+10,layer4_pooled,full_normalized_distance,32,0.9818464379746743,0.06750582655796555,0.871952286300692,0.07216523839723132,0.10989415167398238,0.04651695780225902,11.178091155461944,10.523548524019462,100.0
rotate_+10,layer4_pooled,cp_eq1_optimized,32,0.09915181010728702,0.0530299557597035,0.07308758731232956,0.04880881625671211,0.02606422279495746,0.051564651219814184,11.80780664033038,37.221546845727346,75.0
rotate_-10,concat,bp_eq2_uniform,32,0.3445996344089508,0.038324228578245634,0.26243659295141697,0.031336939372967644,0.08216304145753384,0.019713667802297538,23.754470773535544,22.106321488610106,100.0
rotate_-10,concat,full_normalized_distance,32,0.8288749005310652,0.047281374222903814,0.7231876519304701,0.0439683874487241,0.10568724860059509,0.024424305532482957,12.724586957250338,11.742610404149197,100.0
rotate_-10,concat,cp_eq1_optimized,32,0.20478513231500983,0.020250445145320144,0.15601051016710699,0.01791911787393396,0.048774622147902846,0.01881838078677253,23.523439206061852,23.013130911741882,100.0
rotate_-10,layer2_flat,bp_eq2_uniform,32,0.3445120947435498,0.04910009586920346,0.25045466097071767,0.03829178859413441,0.09405743377283216,0.02673404473184269,27.115851748064838,26.466987763110946,100.0
rotate_-10,layer2_flat,full_normalized_distance,32,0.8279378311528457,0.060476706114618986,0.7056592740922708,0.05522328474771721,0.12227855706057482,0.033594439797457326,14.71472244973819,14.24877097510683,100.0
rotate_-10,layer2_flat,cp_eq1_optimized,32,0.20030039455741644,0.019488728343571207,0.15714477002620697,0.020780611427884958,0.04315562453120947,0.012232250555028565,21.63990806249995,21.058479317867917,100.0
rotate_-10,layer3_flat,bp_eq2_uniform,32,0.34734252002090216,0.031226889824786153,0.2758257333189249,0.026167846030482063,0.07151678670197725,0.01967353564066531,20.476559122549418,20.750748142287556,100.0
rotate_-10,layer3_flat,full_normalized_distance,32,0.8326184806768311,0.03844064619254703,0.7418841176177564,0.036056195056235106,0.09073436305907463,0.024396484690211467,10.865629238942766,10.977996901081216,100.0
rotate_-10,layer3_flat,cp_eq1_optimized,32,0.202764845918864,0.032326710499487786,0.15011113043874502,0.026285989501800187,0.05265371548011899,0.02777905129429079,25.23868514258562,26.50554215894075,100.0
rotate_-10,layer4_pooled,bp_eq2_uniform,32,0.4913971209898591,0.06618499916833212,0.3873097486793995,0.054441187569670126,0.10408737231045961,0.043989430932447796,20.88922067004286,19.54075469883773,100.0
rotate_-10,layer4_pooled,full_normalized_distance,32,0.9893788368010917,0.06364221986628907,0.8781569328363164,0.059762097560564574,0.1112219039647753,0.04582152630715024,11.160454573830348,10.300983222835791,100.0
rotate_-10,layer4_pooled,cp_eq1_optimized,32,0.10184899118030444,0.04961359306025285,0.07382612393121235,0.050292900201105654,0.028022867249092087,0.05391284338165652,15.21641094125405,35.202378968485576,78.125
scale_0.90,concat,bp_eq2_uniform,32,0.3205301659181714,0.024182440189207108,0.2437571589834988,0.021492583212512007,0.0767730069346726,0.01774863331452471,23.874590981684584,23.37438118752143,100.0
scale_0.90,concat,full_normalized_distance,32,0.8001030345964306,0.030403155454668675,0.6975637346436843,0.030802665606531946,0.10253929995274633,0.023519843937279888,12.793227279764565,12.463999378628243,100.0
scale_0.90,concat,cp_eq1_optimized,32,0.20141480676829815,0.01756210557224202,0.1570419347845018,0.016222291169653468,0.04437287198379636,0.016851201375299107,21.804578402526147,21.19347361589473,100.0
scale_0.90,layer2_flat,bp_eq2_uniform,32,0.31620446033775806,0.026701773956224712,0.23225757805630565,0.023592690346264017,0.08394688228145242,0.0237012213133001,26.379111381726574,25.124638162998885,100.0
scale_0.90,layer2_flat,full_normalized_distance,32,0.7945523982685823,0.03362651919922654,0.6806973869188457,0.03469645038223443,0.11385501134973658,0.0321021148857994,14.280059891194174,13.471163047212482,100.0
scale_0.90,layer2_flat,cp_eq1_optimized,32,0.19668324431404471,0.016444768205119257,0.1608471553772688,0.017046475250350055,0.03583608893677592,0.011819278410146612,18.203108083533063,16.748878979637077,100.0
scale_0.90,layer3_flat,bp_eq2_uniform,32,0.326265187934041,0.025026531608173634,0.2562056016176939,0.025352455468191357,0.07005958631634712,0.018414003215710916,21.453471152758667,21.980390114634197,100.0
scale_0.90,layer3_flat,full_normalized_distance,32,0.8072034666730682,0.03136366106119847,0.7149565926360115,0.035896250237337064,0.0922468740370567,0.024666940339856194,11.422794610822276,11.67146559700549,100.0
scale_0.90,layer3_flat,cp_eq1_optimized,32,0.197813852224499,0.027702825992110366,0.14652102207764983,0.023352432798315472,0.051292830146849155,0.024586623578990812,25.36355106713749,23.621597896116402,100.0
scale_0.90,layer4_pooled,bp_eq2_uniform,32,0.5508443592116237,0.08089955687547347,0.41023890022188425,0.06924901380942527,0.14060545898973942,0.05172346433561422,25.300050149732492,26.662070570513265,100.0
scale_0.90,layer4_pooled,full_normalized_distance,32,1.0470397476205662,0.07463622108408213,0.9029039135705303,0.07356242591231268,0.14413583405003577,0.05236150025526761,13.698419815579054,14.362453884789012,100.0
scale_0.90,layer4_pooled,cp_eq1_optimized,32,0.08387215109542012,0.04340310265518256,0.06112552684498951,0.041047696875691715,0.022746624250430614,0.041460412983189365,18.738930454431674,38.92190850462045,78.125
scale_1.10,concat,bp_eq2_uniform,32,0.3464207877404988,0.04623267042263235,0.25449267076328397,0.03643426876721944,0.09192811697721481,0.023057374235669253,26.424206792906773,25.966143411170187,100.0
scale_1.10,concat,full_normalized_distance,32,0.830466467611928,0.057176775372310945,0.7115624287196409,0.0524423031523338,0.11890403889228708,0.02848848940380017,14.285159823991396,13.957190182525588,100.0
scale_1.10,concat,cp_eq1_optimized,32,0.20602949289605021,0.020804848205399493,0.14631510036997497,0.01711130843940483,0.059714392526075244,0.01838967330326588,28.70960441384636,29.63820147728361,100.0
scale_1.10,layer2_flat,bp_eq2_uniform,32,0.3461197898723185,0.06173991851384665,0.23908638721331954,0.04547707713433563,0.10703340265899897,0.031558513895423614,30.632909184431377,30.058803719993097,100.0
scale_1.10,layer2_flat,full_normalized_distance,32,0.8285455422091326,0.07705457960064008,0.6882749675921795,0.0677783363438985,0.14027057461695297,0.03953995846137438,16.842524585771045,16.369230339197333,100.0
scale_1.10,layer2_flat,cp_eq1_optimized,32,0.19720548344776034,0.02325037621977338,0.1419366376940161,0.02238523969652176,0.055268845753744245,0.013762325554923011,28.12467474666774,28.842670172510623,100.0
scale_1.10,layer3_flat,bp_eq2_uniform,32,0.34975947346538305,0.03194841128661086,0.27156835701316595,0.027533095552160235,0.0781911164522171,0.020591383630698117,22.26679602059039,22.268567406457947,100.0
scale_1.10,layer3_flat,full_normalized_distance,32,0.835501286309311,0.03877541630569989,0.7360232233513309,0.0381038135603784,0.09947806295798023,0.025760969776884666,11.881829566448644,11.834809971412128,100.0
scale_1.10,layer3_flat,cp_eq1_optimized,32,0.20740579394623637,0.0306412931698951,0.14649130729958415,0.023210421666238896,0.06091448664665222,0.0259208507945978,28.799748079186,32.2840917479939,100.0
scale_1.10,layer4_pooled,bp_eq2_uniform,32,0.4647700097411871,0.06151038770927808,0.3622601395472884,0.057014339242135656,0.10250987019389868,0.03828182619201755,22.062539137183585,21.838018626609095,100.0
scale_1.10,layer4_pooled,full_normalized_distance,32,0.9622756804593646,0.06066754909869227,0.8485708126878928,0.06775938415217657,0.11370486777147182,0.042420761957556875,11.825536879049299,11.591093779761849,100.0
scale_1.10,layer4_pooled,cp_eq1_optimized,32,0.08850029279710725,0.04840126238165424,0.06311436113901436,0.04617469041984117,0.025385931658092886,0.044135519535417674,18.81328122485709,41.588676849732636,75.0
