method,transform,representation,bp_eq2_uniform,bp_delta_from_original,bp_ratio_to_original,cp_eq1_optimized,cp_delta_from_original,cp_ratio_to_original,cp_coefficient_entropy,cp_coefficients
MSP,original,layer2_flat,0.12003523111343384,0.0,1.0,0.0825716182589531,7.450580596923828e-09,1.0000000902317459,2.4816296100616455,0.18975766 0.19305681 0.08451039 0.00548067 0.05379631 0.01752027 0.36392429 0.08054024 0.01141326 0.00000000
MSP,original,layer3_flat,0.19953857362270355,0.0,1.0,0.1369587779045105,0.0,1.0,2.151538848876953,0.19374335 0.27965066 0.00000000 0.07460205 0.01550887 0.00000000 0.36358497 0.00000000 0.07291002 0.00000000
MSP,original,layer4_pooled,0.2595140337944031,0.0,1.0,0.11114300042390823,0.0,1.0,1.3484916687011719,0.34157667 0.10725277 0.00000000 0.00000000 0.00000000 0.00000000 0.55117053 0.00000000 0.00000000 0.00000000
MSP,original,concat,0.15576079487800598,0.0,1.0,0.1085875853896141,7.450580596923828e-09,1.0000000686135628,2.3568809032440186,0.19354083 0.23743859 0.00675782 0.05650844 0.03808688 0.00000000 0.37298781 0.05887163 0.03580789 0.00000000
MSP,rotate_-10,layer2_flat,0.16557443141937256,0.04553920030593872,1.3793819521414057,0.10879573971033096,0.026224128901958466,1.3175925556605688,2.1837613582611084,0.17357053 0.22299130 0.05189589 0.00000000 0.00000000 0.04069722 0.43562433 0.06220846 0.01301226 0.00000000
MSP,rotate_-10,layer3_flat,0.24217592179775238,0.04263734817504883,1.2136797281885745,0.15439018607139587,0.017431408166885376,1.1272748518456517,1.7687304019927979,0.12067188 0.43369281 0.00000000 0.07371116 0.00000000 0.00000000 0.36124882 0.00000000 0.01067540 0.00000000
MSP,rotate_-10,layer4_pooled,0.30545246601104736,0.04593843221664429,1.1770171406331784,0.12526896595954895,0.014125965535640717,1.1270972124347558,1.3840727806091309,0.10807998 0.42144838 0.00000000 0.00000000 0.00000000 0.00000000 0.47047159 0.00000000 0.00000000 0.00000000
MSP,rotate_-10,concat,0.20013335347175598,0.04437255859375,1.28487629784002,0.1318545788526535,0.023267000913619995,1.2142694528693603,1.9264776706695557,0.17059882 0.34765938 0.00000000 0.02923279 0.00110053 0.00000000 0.39959541 0.02855748 0.02325557 0.00000000
MSP,rotate_+10,layer2_flat,0.17875374853610992,0.058718517422676086,1.4891773596594957,0.12348703294992447,0.04091542214155197,1.4955143994466893,2.2839088439941406,0.12300055 0.32536757 0.02113780 0.04015512 0.02944456 0.03853148 0.38369301 0.01982997 0.01883996 0.00000000
MSP,rotate_+10,layer3_flat,0.2473212480545044,0.04778267443180084,1.2394658514594326,0.15494826436042786,0.01798948645591736,1.1313496420676923,1.8202171325683594,0.14168076 0.32447141 0.00000000 0.12003699 0.00000000 0.00000000 0.41381088 0.00000000 0.00000000 0.00000000
MSP,rotate_+10,layer4_pooled,0.31196513772010803,0.052451103925704956,1.202112784262976,0.12844225764274597,0.017299257218837738,1.1556486432137099,1.2610973119735718,0.07027949 0.35825089 0.00000000 0.00000000 0.00000000 0.00000000 0.57146960 0.00000000 0.00000000 0.00000000
